Date,Not indexed,Indexed,Impressions
2026-06-06,,,1
2026-06-07,,,5
2026-06-08,2,2,4
2026-06-09,2,2,5
2026-06-10,2,2,1
2026-06-11,2,2,3
2026-06-12,2,2,11
2026-06-13,3,7,1
2026-06-14,3,7,1
2026-06-15,3,7,10
2026-06-16,3,7,22
2026-06-17,3,7,18
2026-06-18,3,7,18
2026-06-19,3,7,2
2026-06-20,3,7,5
2026-06-21,3,7,3
2026-06-22,3,7,6
2026-06-23,3,7,3
2026-06-24,3,7,7
2026-06-25,3,7,3
2026-06-26,3,7,1
2026-06-27,3,7,5
2026-06-28,3,7,3
2026-06-29,3,7,3
2026-06-30,3,7,5
2026-07-01,3,7,3
2026-07-02,3,7,13
2026-07-03,3,7,9
2026-07-04,3,7,6
2026-07-05,3,7,3
2026-07-06,3,7,8
2026-07-07,3,7,9
2026-07-08,3,7,6
2026-07-09,3,7,3
2026-07-10,3,7,6
2026-07-11,4,7,8
2026-07-12,4,7,3
2026-07-13,4,7,4
2026-07-14,4,7,7
2026-07-15,4,7,3
2026-07-16,4,7,5
2026-07-17,4,7,3
2026-07-18,4,7,5
2026-07-19,4,7,4
2026-07-20,4,7,5
2026-07-21,4,7,8
2026-07-22,4,7,17
2026-07-23,4,7,8
2026-07-24,4,7,7
2026-07-25,53,7,3
2026-07-26,53,7,8
2026-07-27,53,7,3
2026-07-28,53,7,21
2026-07-29,53,7,9
2026-07-30,53,7,9
2026-07-31,53,7,9
2026-08-01,53,7,4
2026-08-02,53,7,2
2026-08-03,53,7,5
2026-08-04,53,7,9
2026-08-05,53,7,13
2026-08-06,53,7,8
2026-08-07,53,7,9
2026-08-08,52,18,6
2026-08-09,52,18,12
2026-08-10,52,18,6
2026-08-11,46,34,14
2026-08-12,46,34,4
2026-08-13,46,34,9
2026-08-14,46,34,3
2026-08-15,46,35,11
2026-08-16,46,35,6
2026-08-17,46,35,12
2026-08-18,46,36,12
2026-08-19,46,36,12
2026-08-20,46,36,7
2026-08-21,46,36,13
2026-08-22,46,36,1
2026-08-23,46,36,4
2026-08-24,46,36,8
2026-08-25,46,36,3
2026-08-26,46,36,5
2026-08-27,46,36,7
2026-08-28,46,36,9
